date,INTC
2002-12-03,12.7058216119
2002-12-04,12.3492328222
2002-12-05,11.8612692153
2002-12-06,11.7048706233
2002-12-09,11.0605084243
2002-12-10,11.3420258899
2002-12-11,11.3607937209
2002-12-12,11.379561552
2002-12-13,10.9979489876
2002-12-16,11.398329383
2002-12-17,11.1918832416
2002-12-18,10.716431522
2002-12-19,10.6351042542
2002-12-20,10.6413601979
2002-12-23,10.7664790714
2002-12-24,10.4974734932
2002-12-26,10.4411700001
2002-12-27,10.2597476334
2002-12-30,9.85936723799
2002-12-31,9.74050430809
2003-01-02,10.4411700001
2003-01-03,10.3473308449
2003-01-06,10.7477112404
2003-01-07,10.8603182266
2003-01-08,10.4349140565
2003-01-09,10.6726399163
2003-01-10,10.8978538887
2003-01-13,10.872830114
2003-01-14,11.1293238048
2003-01-15,10.8540622829
2003-01-16,10.7602231278
2003-01-17,10.2222119714
2003-01-21,10.190932253
2003-01-22,10.1659084783
2003-01-23,10.4286581128
2003-01-24,9.9156707311
2003-01-27,9.93443856214
2003-01-28,10.0282777173
2003-01-29,10.0282777173
2003-01-30,9.87813506903
2003-01-31,9.82183157592
2003-02-03,9.86562318167
2003-02-04,9.78429591385
2003-02-05,9.75927213913
2003-02-06,9.63399265082
2003-02-07,9.42728149512
2003-02-10,9.56508893225
2003-02-11,9.60893675316
2003-02-12,9.48992123927
2003-02-13,9.72795226705
2003-02-14,10.1163186808
2003-02-18,10.4671012481
2003-02-19,10.5234770178
2003-02-20,10.6612844549
2003-02-21,10.510949069
2003-02-24,10.360613683
2003-02-25,10.4796291969
2003-02-26,10.1726944505
2003-02-27,10.4608372737
2003-02-28,10.8116198409
2003-03-03,10.435781376
2003-03-04,10.4107254783
2003-03-05,10.6362285573
2003-03-06,10.4608372737
2003-03-07,10.028623039
2003-03-10,9.95971932042
2003-03-11,9.92839944835
2003-03-12,10.1476385529
2003-03-13,10.8679956106
2003-03-14,10.7552440712
2003-03-17,11.3127377941
2003-03-18,11.431753308
2003-03-19,11.2626259988
2003-03-20,11.4442812569
2003-03-21,11.838911645
2003-03-24,11.1686663826
2003-03-25,11.3002098453
2003-03-26,11.2062502291
2003-03-27,11.0120670222
2003-03-28,10.7865639432
2003-03-31,10.1977503482
2003-04-01,10.28544599
2003-04-02,10.9744831757
