date,VZ
2002-03-25,16.6453262331
2002-03-26,16.7546910572
2002-03-27,16.6052257976
2002-03-28,16.8057279752
2002-04-01,16.7510455631
2002-04-02,16.5505433855
2002-04-03,16.5869983269
2002-04-04,16.5213794324
2002-04-05,16.4776335028
2002-04-08,16.2570811074
2002-04-09,15.7018177627
2002-04-10,16.1430866459
2002-04-11,15.3782205816
2002-04-12,15.5694370977
2002-04-15,15.2164219911
2002-04-16,16.0327694251
2002-04-17,15.7606536138
2002-04-18,15.6098867453
2002-04-19,15.4444109141
2002-04-22,14.7089627753
2002-04-23,14.760444145
2002-04-24,15.0399144378
2002-04-25,15.2311309539
2002-04-26,15.1502316586
2002-04-29,14.3963973164
2002-04-30,14.749412423
2002-05-01,15.2752578422
2002-05-02,15.2605488794
2002-05-03,14.8376661996
2002-05-06,14.6611586463
2002-05-07,14.532455222
2002-05-08,15.2017130283
2002-05-09,14.7641213857
2002-05-10,14.4699421302
2002-05-13,15.0546234006
2002-05-14,15.5032467652
2002-05-15,15.517955728
2002-05-16,16.1761818122
2002-05-17,15.8636163532
2002-05-20,15.5915005419
2002-05-21,15.8194894649
2002-05-22,15.9445156485
2002-05-23,16.2460493854
2002-05-24,15.9959970182
2002-05-28,16.418879698
2002-05-29,16.1394094052
2002-05-30,16.1761818122
2002-05-31,15.8121349835
2002-06-03,15.5106012466
2002-06-04,15.5731143384
2002-06-05,15.4995695245
2002-06-06,15.0766868447
2002-06-07,15.253194398
2002-06-10,15.3267392119
2002-06-11,14.9038565321
2002-06-12,15.337770934
2002-06-13,15.205390269
2002-06-14,15.1906813062
2002-06-17,15.3966067851
2002-06-18,15.5915005419
2002-06-19,14.6390952022
2002-06-20,14.6868993312
2002-06-21,14.8008937927
2002-06-24,14.5986455545
2002-06-25,14.2125352817
2002-06-26,14.2309214851
2002-06-27,14.4258152419
2002-06-28,14.7641213857
2002-07-01,14.0617684132
2002-07-02,13.668303659
2002-07-03,13.8190705274
2002-07-05,14.3007890583
2002-07-08,14.3173366414
2002-07-09,13.8753747581
2002-07-10,13.4074151169
2002-07-11,13.9645099278
2002-07-12,13.1102978844
2002-07-15,13.0545884033
2002-07-16,12.9988789222
2002-07-17,13.1325816768
2002-07-18,12.6460522086
2002-07-19,12.0703875706
2002-07-22,10.6405108892
2002-07-23,10.1874071096
2002-07-24,10.3433936567
2002-07-25,10.2505445215
2002-07-26,10.6887924394
2002-07-29,11.3015967315
2002-07-30,11.2161755271
2002-07-31,12.2560858409
2002-08-01,11.6469955143
2002-08-02,11.8772613695
2002-08-05,11.1976057001
2002-08-06,11.0936146687
2002-08-07,10.9450560525
2002-08-08,11.0304772568
2002-08-09,11.2347453542
2002-08-12,11.1790358731
2002-08-13,10.9190582946
2002-08-14,11.4947229326
2002-08-15,11.3090246623
2002-08-16,11.7695563727
2002-08-19,12.4752097999
2002-08-20,11.8104099922
2002-08-21,12.0146780895
2002-08-22,12.1780925674
2002-08-23,11.7509865457
2002-08-26,12.0332479165
2002-08-27,11.83640775
2002-08-28,11.498436898
2002-08-29,11.4761531056
2002-08-30,11.5132927597
2002-09-03,10.904202433
2002-09-04,11.141896219
2002-09-05,10.9264862255
2002-09-06,11.0787588071
2002-09-09,11.0861867379
2002-09-10,11.342450351
2002-09-11,11.7992680959
2002-09-12,11.5281486213
2002-09-13,11.2718850082
2002-09-16,11.5170067251
2002-09-17,11.342450351
2002-09-18,11.2087475963
2002-09-19,10.9302001909
2002-09-20,11.0156213952
2002-09-23,11.0341912222
2002-09-24,10.6776505432
2002-09-25,10.8967745022
2002-09-26,11.0156213952
2002-09-27,10.4325288264
