date,SPY
2002-07-15,63.9510602213
2002-07-16,62.7183034071
2002-07-17,62.8429643486
2002-07-18,60.8068391001
2002-07-19,58.6668235007
2002-07-22,56.9284945424
2002-07-23,55.3702327736
2002-07-24,58.6737504937
2002-07-25,58.1751060351
2002-07-26,59.2832019078
2002-07-29,62.1711796935
2002-07-30,62.981479276
2002-07-31,63.1338440341
2002-08-01,61.4855459003
2002-08-02,60.107351321
2002-08-05,58.0158149767
2002-08-06,59.968835701
2002-08-07,61.0146038732
2002-08-08,62.9884014211
2002-08-09,63.2238748586
2002-08-12,62.759860517
2002-08-13,61.6171338348
2002-08-14,63.8679563897
2002-08-15,64.7544335034
2002-08-16,64.5605171759
2002-08-19,66.0703003822
2002-08-20,65.3708119105
2002-08-21,66.3126952722
2002-08-22,66.9567768033
2002-08-23,65.516248983
2002-08-26,65.9733418721
2002-08-27,65.2115263925
2002-08-28,63.7848470177
2002-08-29,63.8125501417
2002-08-30,63.5632282587
2002-09-03,61.1392655072
2002-09-04,62.0118934829
2002-09-05,61.4855459003
2002-09-06,62.3304707519
2002-09-09,62.787563641
2002-09-10,63.5078220107
2002-09-11,63.1130623626
2002-09-12,61.9495602419
2002-09-13,62.1019243074
2002-09-16,62.2542883729
2002-09-17,60.8276152312
2002-09-18,60.2181582766
2002-09-19,58.6598965078
2002-09-20,58.6793581584
2002-09-23,58.199353345
2002-09-24,57.2602011521
2002-09-25,58.6793581584
2002-09-26,59.6393796116
2002-09-27,57.5662952311
2002-09-30,56.8984573355
2002-10-01,59.6324215683
2002-10-02,57.8445627021
2002-10-03,57.2602011521
2002-10-04,56.2097501797
2002-10-07,55.0479851231
2002-10-08,55.9106141441
2002-10-09,54.3314506636
2002-10-10,56.0914829218
2002-10-11,58.5471859446
2002-10-14,58.8741437185
2002-10-15,61.7055010791
2002-10-16,60.2098250749
2002-10-17,61.4063650435
2002-10-18,61.6637625585
2002-10-21,62.7281296176
2002-10-22,62.2759465424
2002-10-23,62.7489988779
2002-10-24,61.4689776941
2002-10-25,62.7489988779
2002-10-28,62.338559193
2002-10-29,61.6150666902
2002-10-30,62.2133387615
2002-10-31,61.5802813433
2002-11-01,62.7976954418
2002-11-04,63.3959675131
2002-11-05,63.8968471522
2002-11-06,64.7246908262
2002-11-07,63.1385748677
2002-11-08,62.3663864967
2002-11-11,61.3994118698
2002-11-12,61.8863754222
2002-11-13,61.9489880728
2002-11-14,63.1177056074
2002-11-15,63.5838005952
2002-11-18,62.9437893076
2002-11-19,62.8603080924
2002-11-20,64.2585965341
2002-11-21,65.455135807
2002-11-22,64.9890415149
2002-11-25,65.0307849051
2002-11-26,63.7924966766
2002-11-27,65.5873142818
2002-11-29,65.3786175047
2002-12-02,65.4829631106
2002-12-03,64.6064291336
2002-12-04,64.314245576
2002-12-05,63.6046691598
2002-12-06,64.0220675837
2002-12-09,62.2620353255
2002-12-10,63.0968314775
2002-12-11,63.1524860847
2002-12-12,63.1455280414
2002-12-13,62.1507261109
2002-12-16,63.757716895
2002-12-17,63.201181953
2002-12-18,62.4707369722
2002-12-19,62.0255119404
2002-12-20,62.9061086021
2002-12-23,62.9270789365
2002-12-24,62.4587265552
2002-12-26,62.4866886322
2002-12-27,61.0816279931
2002-12-30,61.5919259365
2002-12-31,61.6758114683
2003-01-02,63.6610672043
2003-01-03,63.8567954518
2003-01-06,64.9822416125
2003-01-07,64.8214664856
2003-01-08,63.8847575287
2003-01-09,64.8773857463
2003-01-10,65.0521443583
2003-01-13,65.0311740239
2003-01-14,65.2408864555
2003-01-15,64.5907844186
2003-01-16,64.3251478331
2003-01-17,63.3744658767
2003-01-21,62.3888245085
2003-01-22,61.6338659063
2003-01-23,62.0113452074
2003-01-24,60.3825935448
